RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
22,15597945,Dellucci,636,Spain,Female,32,6,0.0,2,1,0,812.23,0,0,4,DIAMOND,898.1137057522074
23,15699309,Gerasimov,510,Spain,Female,38,1,0.0,1,1,0,936.93,1,1,2,DIAMOND,460.4433368935309
24,15725737,Mosman,669,France,Male,46,10,0.0,2,0,1,1769.41,0,0,3,SILVER,624.3679402998666
25,15625047,Yen,846,France,Female,38,0,0.0,1,1,1,181.35,0,0,5,PLATINUM,637.3995172096005
26,15738191,Maclean,577,France,Male,25,6,0.0,2,0,0,1889.12,0,0,4,PLATINUM,648.0345320547085
27,15736816,Young,756,Germany,Male,36,9,136815.64,1,1,1,3075.68,0,1,3,DIAMOND,509.631364462149
28,15700772,Nebechi,571,France,Male,44,1,0.0,2,0,1,2209.67,0,0,5,PLATINUM,566.3189984200508
29,15728693,McWilliams,574,Germany,Female,43,6,141349.43,1,1,1,2297.19,0,0,5,DIAMOND,783.9473867192148
30,15656300,Lucciano,411,France,Male,29,10,59697.17,2,1,1,2934.17,0,0,5,GOLD,648.6102774858433
31,15589475,Azikiwe,591,Spain,Female,39,10,0.0,3,1,0,2793.03,0,0,2,DIAMOND,837.8156894219238
32,15706552,Odinakachukwu,533,France,Male,36,3,85311.7,1,0,1,2269.02,0,0,3,SILVER,530.6483524056105
33,15750181,Sanderson,553,Germany,Male,41,4,110112.54,2,0,0,1751.24,0,0,4,GOLD,647.5417196513419
34,15659428,Maggard,520,Spain,Female,42,9,0.0,2,1,1,1313.58,0,0,3,SILVER,720.9025997402857
35,15732963,Clements,722,Spain,Female,29,9,0.0,2,1,1,907.05,0,0,3,PLATINUM,521.4332577515524
36,15794171,Lombardo,475,France,Female,45,5,134264.04,1,1,1,3368.67,1,1,3,DIAMOND,751.9106467071538
37,15788448,Watson,490,Spain,Male,31,6,145260.23,1,0,0,1305.08,0,0,4,SILVER,917.1690260752368
38,15729599,Lorenzo,804,Spain,Male,33,9,76548.6,1,0,0,1059.47,0,0,3,GOLD,338.3230035555308
39,15717426,Armstrong,850,France,Male,36,6,0.0,1,1,1,2607.02,0,0,5,GOLD,646.3637720256831
40,15585768,Cameron,582,Germany,Male,41,9,70349.48,2,0,0,1404.38,0,0,4,GOLD,555.9336337489176
41,15619360,Hsiao,472,Spain,Male,40,10,0.0,1,1,1,1278.71,0,0,5,DIAMOND,360.1233742411995
42,15738148,Clarke,465,France,Female,51,4,0.0,1,0,1,3013.24,0,0,2,SILVER,736.3071828168894
43,15687946,Osborne,556,France,Female,61,3,117419.35,1,1,1,3018.42,0,0,5,PLATINUM,698.6025018876267
44,15755196,Lavine,834,France,Female,49,6,131394.56,1,0,0,651.0,0,0,3,GOLD,456.3288199547327
45,15684171,Bianchi,660,Spain,Female,61,3,155931.11,1,1,1,477.2,0,0,5,PLATINUM,776.1011463506491
46,15754849,Tyler,776,Germany,Female,32,4,109421.13,2,1,1,1284.17,0,0,3,SILVER,461.3303862765279
47,15602280,Martin,829,Germany,Female,27,9,112045.67,1,1,0,3559.22,1,0,1,DIAMOND,770.8674043984089
48,15771573,Okagbue,637,Germany,Female,39,6,137843.8,1,1,1,3244.91,1,1,3,SILVER,778.7228812649006
49,15766205,Yin,550,Germany,Male,38,6,103391.38,1,0,0,1647.65,0,1,4,DIAMOND,337.1797324455662
50,15771873,Buccho,776,Germany,Female,37,7,103769.22,2,1,0,2278.36,0,0,5,SILVER,459.8204813579789
51,15616550,Chidiebele,698,Germany,Male,44,6,116363.37,2,1,0,1674.6,0,1,3,SILVER,673.9549736426325
52,15768193,Trevisani,585,Germany,Male,36,8,146050.97,2,0,1,1636.53,0,0,3,SILVER,283.8653436884396
53,15683553,O'Brien,788,France,Female,33,4,0.0,2,0,1,2241.26,0,0,5,GOLD,865.1701421039763
54,15702298,Parkhill,655,Germany,Male,41,10,125561.97,1,0,1,101.92,1,1,3,SILVER,508.1764193102642
55,15569590,Yoo,601,Germany,Male,42,0,98495.72,1,1,1,1787.66,1,0,1,DIAMOND,997.576495796366
56,15760861,Phillipps,619,France,Male,43,6,125211.92,1,1,1,1115.13,0,0,5,SILVER,688.2512511926865
57,15630053,Tsao,656,France,Male,45,5,127864.4,1,1,1,296.12,0,0,3,PLATINUM,573.789765047031
58,15647091,Endrizzi,725,Germany,Male,19,4,75888.2,1,0,0,2125.46,0,0,3,PLATINUM,570.3267577296228
59,15623944,T'ien,511,Spain,Female,66,3,0.0,1,1,0,1899.86,0,0,2,SILVER,710.4488855556338
60,15804771,Velazquez,614,France,Male,51,8,40685.92,1,1,1,1521.47,0,1,3,PLATINUM,533.5616310876609
61,15651280,Hunter,742,Germany,Male,35,0,136857.0,1,0,0,3770.03,0,0,3,GOLD,1009.2681271769476
62,15773469,Clark,687,Germany,Female,27,10,152328.88,2,0,0,3353.89,0,0,3,DIAMOND,560.3980244583174
63,15702014,Jeffrey,555,Spain,Male,33,2,56084.69,2,0,0,2673.03,0,0,3,PLATINUM,238.30022735335643
64,15751208,Pirozzi,684,Spain,Male,56,7,78707.16,1,1,1,2580.82,0,0,3,SILVER,554.3712908694274
65,15592461,Jackson,603,Germany,Male,26,6,109166.37,1,1,0,2812.8,0,1,5,PLATINUM,936.064194968345
66,15789484,Hammond,751,Germany,Female,36,7,169831.46,2,1,0,1833.0,0,1,3,GOLD,716.3046129582284
67,15696061,Brownless,581,Germany,Female,34,4,101633.04,1,1,1,1898.93,0,0,3,PLATINUM,77.18211704593625
68,15641582,Chibugo,735,Germany,Male,43,1,123180.01,2,1,1,692.34,0,0,4,PLATINUM,292.3949188075677
69,15638424,Glauert,661,Germany,Female,35,6,150725.53,2,0,1,2158.43,0,0,4,GOLD,779.4562333954984
70,15755648,Pisano,675,France,Female,21,6,98373.26,1,1,1,2614.81,0,0,4,SILVER,429.3622702658709
71,15703793,Konovalova,738,Germany,Male,58,9,133745.44,4,1,0,1794.69,0,0,1,GOLD,440.58429536488654
72,15620344,McKee,813,France,Male,29,10,0.0,1,1,1,1956.25,0,0,4,PLATINUM,241.3218282155103
73,15812518,Palermo,657,Spain,Female,37,5,163607.18,1,0,1,1016.48,0,0,3,GOLD,337.46452492206976
74,15779052,Ballard,604,Germany,Female,25,5,157780.84,2,1,1,2987.76,0,0,5,SILVER,1010.8022236744256
75,15770811,Wallace,519,France,Male,36,8,0.0,2,0,0,2113.19,0,0,4,PLATINUM,596.6943078220662
76,15780961,Cavenagh,735,France,Female,21,6,178718.19,2,1,1,120.56,0,0,5,PLATINUM,368.9114548952098
77,15614049,Hu,664,France,Male,55,5,0.0,2,1,1,1381.25,0,0,3,SILVER,693.73796025289
78,15662085,Read,678,France,Female,32,3,0.0,1,1,0,3496.02,0,0,4,GOLD,720.557947315946
79,15575185,Bushell,757,Spain,Male,33,6,77253.22,1,0,0,270.21,0,0,4,SILVER,481.4924549700794
80,15803136,Postle,416,Germany,Female,41,3,122189.66,2,1,0,1723.26,0,0,3,SILVER,1015.5203667239904
81,15706021,Buley,665,France,Female,34,4,96645.54,2,0,0,3747.2,0,0,4,DIAMOND,417.9962886117047
82,15663706,Leonard,777,France,Female,32,9,0.0,1,1,0,1340.4,0,1,2,SILVER,31.22805140664412
83,15641732,Mills,543,France,Female,36,3,0.0,2,0,0,533.11,0,0,5,DIAMOND,675.9280411659504
84,15701164,Onyeorulu,506,France,Female,34,2,90307.62,1,1,1,568.32,0,0,4,SILVER,826.1029495943194
85,15738751,Beit,493,France,Female,46,8,0.0,2,1,0,3256.5,0,0,4,SILVER,148.46412258384396
86,15805254,Ndukaku,652,Spain,Female,75,7,0.0,2,1,1,2030.29,0,0,5,DIAMOND,580.8712596168341
87,15762418,Gant,750,Spain,Male,22,7,121681.82,1,1,0,2005.25,0,0,2,SILVER,542.5143321301584
88,15625759,Rowley,729,France,Male,30,5,0.0,2,1,0,2813.43,0,0,3,DIAMOND,924.4583872328236
89,15622897,Sharpe,646,France,Female,46,6,0.0,3,1,0,2810.76,0,1,3,PLATINUM,265.0473842495311
90,15767954,Osborne,635,Germany,Female,28,8,81623.67,2,1,0,1754.18,0,0,4,DIAMOND,940.0241853112708
91,15757535,Heap,647,Spain,Female,44,6,0.0,3,1,0,2314.32,0,0,2,DIAMOND,622.9063052981085
92,15731511,Ritchie,808,France,Male,45,7,118626.55,2,1,0,2423.59,0,0,4,SILVER,699.0268053080235
93,15809248,Cole,524,France,Female,36,7,0.0,2,1,1,2367.61,0,0,5,GOLD,421.96209374063153
94,15640635,Capon,769,France,Male,29,4,0.0,2,1,0,2893.69,0,0,3,DIAMOND,343.43928056561833
95,15676966,Capon,730,Spain,Male,42,4,0.0,2,0,1,2394.82,0,0,5,DIAMOND,978.0192131621136
96,15699461,Fiorentini,515,Spain,Male,35,0,176273.95,1,0,0,2415.48,0,0,3,GOLD,145.47246484279816
97,15738721,Graham,773,Spain,Male,41,5,102827.44,1,0,1,817.34,0,0,3,DIAMOND,274.8599196628648
98,15693683,Yuille,814,Germany,Male,29,8,97086.4,2,1,1,1581.66,0,0,4,GOLD,525.7228106370899
99,15604348,Allard,710,Spain,Male,22,6,0.0,2,0,0,4034.18,0,0,4,SILVER,732.2310963756829
100,15633059,Fanucci,413,France,Male,34,3,0.0,2,0,0,2283.6,0,0,3,PLATINUM,565.3884128415123
101,15808582,Fu,665,France,Female,40,9,0.0,1,1,1,3187.36,0,0,4,SILVER,333.4290664573317
102,15743192,Hung,623,France,Female,44,8,0.0,2,0,1,3040.84,0,0,4,DIAMOND,912.3960401661802
103,15580146,Hung,738,France,Male,31,8,82674.15,1,1,1,373.64,0,0,4,DIAMOND,336.47793325419184
104,15776605,Bradley,528,Spain,Male,36,10,0.0,2,1,1,1892.68,0,0,5,SILVER,623.0069880672676
105,15804919,Dunbabin,670,Spain,Female,65,4,0.0,1,1,0,1727.97,0,1,3,GOLD,480.7766300686013
106,15613854,Mauldon,622,Spain,Female,46,10,0.0,2,1,0,2346.54,0,1,2,GOLD,846.7654849393896
107,15599195,Stiger,582,Germany,Male,32,0,88938.62,1,1,1,875.6,0,0,4,GOLD,515.0500347476702
108,15812878,Parsons,785,Germany,Female,36,8,99806.85,1,0,1,374.45,0,0,3,PLATINUM,592.8376328711305
109,15602312,Walkom,605,Spain,Male,33,8,150092.8,1,0,1,1855.84,0,0,5,DIAMOND,537.6340951134064
110,15744689,T'ang,479,Germany,Male,35,6,92833.89,1,1,0,1452.79,0,0,3,DIAMOND,361.99574248567376
111,15803526,Eremenko,685,Germany,Male,30,1,90536.81,1,0,1,1709.54,0,0,5,SILVER,429.5160992737343
112,15665790,Rowntree,538,Germany,Male,39,8,108055.1,2,1,1,1331.07,0,0,3,SILVER,820.5684146466584
113,15715951,Thorpe,562,France,Male,42,4,100238.35,1,0,1,1571.26,0,0,5,PLATINUM,147.57995225714893
114,15591100,Chiemela,675,Spain,Male,36,0,106190.55,1,0,0,1662.43,0,0,3,SILVER,654.5795224422445
115,15609618,Fanucci,721,Germany,Male,28,5,0.0,2,0,0,2448.24,0,0,3,PLATINUM,697.1461813834753
116,15675522,Ko,628,Germany,Female,30,10,132351.29,2,1,1,2380.11,0,1,5,GOLD,669.058203086685
117,15705512,Welch,668,Germany,Female,37,7,167864.4,1,1,1,686.77,0,0,4,SILVER,559.9689304781239
118,15698028,Duncan,506,France,Female,41,6,0.0,2,1,1,2299.95,0,0,4,GOLD,458.5698260923612
119,15661670,Chidozie,524,Germany,Female,31,10,107818.63,1,1,0,2821.32,1,1,1,SILVER,125.18960211878893
120,15600781,Wu,699,Germany,Male,34,10,185173.81,2,1,1,2676.03,0,0,5,PLATINUM,331.4423102584193
121,15682472,Culbreth,828,France,Male,34,4,129433.34,2,0,1,385.01,0,0,3,SILVER,663.2996811549132
122,15580203,Kennedy,674,Spain,Male,39,10,120193.42,1,0,0,952.67,0,0,3,PLATINUM,467.5184804042444
123,15690673,Cameron,656,France,Female,39,0,0.0,2,1,1,2053.45,0,0,3,DIAMOND,897.5781703964497
124,15760085,Calabresi,684,Germany,Female,48,4,126384.42,1,1,0,1771.81,0,0,3,GOLD,513.5689018310189
125,15779659,Zetticci,625,France,Female,28,3,0.0,1,0,1,1059.69,0,0,4,GOLD,840.2946315564327
126,15627360,Fuller,432,France,Male,42,3,0.0,1,1,1,1358.79,0,1,3,DIAMOND,809.6081801594012
127,15671137,MacDonald,549,France,Female,52,3,0.0,1,0,0,1194.17,1,1,1,DIAMOND,822.4366843202426
128,15782688,Piccio,625,Germany,Male,56,7,148507.24,1,1,0,307.3,0,1,2,PLATINUM,692.0006326649539
129,15575492,Kennedy,828,France,Female,41,9,0.0,2,1,0,2408.84,0,0,4,PLATINUM,589.5222762133349
130,15591607,Fernie,770,France,Male,24,4,101827.07,1,1,0,1562.78,0,0,5,GOLD,450.651921895823
131,15740404,He,758,France,Female,34,10,0.0,2,1,1,2347.69,0,0,5,PLATINUM,675.9865613534753
132,15718369,Kaodilinakachukwu,795,Germany,Female,33,5,130862.43,1,1,1,3570.45,0,0,4,GOLD,453.8088496645528
133,15677871,Cocci,687,France,Male,38,5,122570.87,1,1,1,1650.86,0,0,4,DIAMOND,501.7692799597447
134,15642004,Alekseeva,686,France,Male,25,9,0.0,2,0,0,2463.98,0,0,3,DIAMOND,798.1240963150815
135,15712543,Chinweike,789,Germany,Male,39,9,124828.46,2,1,0,1568.65,0,0,4,PLATINUM,528.3732533651861
136,15584518,Arthur,589,Germany,Female,50,9,144895.05,2,1,1,2234.37,0,0,5,GOLD,83.32525560779789
137,15802381,Li,461,Germany,Female,34,9,63663.93,1,0,1,626.72,0,0,3,SILVER,85.45325079581642
138,15610156,Ma,637,France,Male,40,7,133463.1,1,0,1,870.03,0,0,5,PLATINUM,736.993437042637
139,15594408,Chia,584,Spain,Female,48,7,0.0,1,1,0,2311.6,1,1,1,DIAMOND,1063.2556489303136
140,15640905,Vasin,579,Spain,Female,35,1,0.0,2,0,1,2925.21,0,0,3,GOLD,458.75180879361847
141,15698932,Groves,756,Germany,Male,44,4,137452.09,1,1,0,1027.95,0,1,3,PLATINUM,892.2595002759845
142,15724944,Tien,663,France,Male,34,5,0.0,2,1,1,2304.75,0,0,4,SILVER,190.9976220851713
143,15628145,Forwood,682,France,Female,43,2,125851.93,1,1,1,593.89,0,0,3,GOLD,650.4324497435518
144,15713483,Greeves,793,Spain,Male,52,4,0.0,1,1,0,1809.78,0,1,2,GOLD,484.7197200286048
145,15612350,Taylor,691,France,Female,31,1,40915.55,1,1,0,2135.65,1,0,1,SILVER,369.5992538905568
146,15800703,Madukwe,485,Spain,Female,21,7,113157.22,1,1,0,3534.74,0,0,3,GOLD,686.9477172845734
147,15705707,Bennelong,635,Spain,Female,29,5,138296.94,2,1,1,1930.16,0,0,3,PLATINUM,857.0563125764346
148,15754105,Olisanugo,650,France,Male,37,10,106967.18,1,0,1,1181.89,0,0,3,PLATINUM,889.4809739969558
149,15703264,Chukwufumnanya,735,France,Male,44,9,120681.63,1,1,1,2034.86,0,0,4,SILVER,243.4709450053873
150,15794413,Harris,416,France,Male,32,4,0.0,2,0,0,1785.81,0,0,3,GOLD,771.9997722688004
151,15650237,Morgan,754,Spain,Female,32,6,0.0,2,1,1,1421.86,0,0,3,SILVER,749.0275117915695
152,15759618,Alexeeva,535,France,Female,48,0,0.0,1,1,1,1838.73,0,0,3,GOLD,559.6051113546545
153,15811589,Metcalfe,716,Spain,Male,42,7,0.0,2,1,1,469.95,0,0,3,SILVER,689.814737303072
154,15689044,Humphries,539,France,Male,37,8,127609.59,1,1,1,3297.95,0,0,5,DIAMOND,458.7299357723129
155,15709368,Milne,614,France,Female,43,6,0.0,2,1,1,1083.13,0,0,5,PLATINUM,246.7794093041697
156,15679145,Chou,706,Spain,Male,57,5,0.0,1,1,0,2118.98,1,1,2,GOLD,835.1367686259111
157,15655007,Li,758,France,Female,33,3,0.0,2,0,1,631.11,0,0,4,PLATINUM,336.1338849239976
158,15623595,Clayton,586,Spain,Female,28,4,0.0,2,1,0,2008.33,0,0,3,PLATINUM,176.03215472469088
159,15589975,Maclean,646,France,Female,73,3,97259.25,1,0,1,3160.65,0,0,5,PLATINUM,493.57157164441503
160,15804017,Chigolum,631,Germany,Female,33,7,123246.7,1,0,0,3198.56,0,0,5,SILVER,437.0358678884194
161,15692132,Wilkinson,717,Spain,Female,22,10,101060.25,1,0,0,2340.52,0,0,5,GOLD,432.5790203392696
162,15641122,Wei,684,France,Male,30,4,0.0,2,1,1,1921.43,0,0,5,DIAMOND,507.8100829247384
163,15630910,Treacy,800,France,Female,49,7,108007.36,1,0,1,1508.29,0,0,3,PLATINUM,700.028746563718
164,15680772,Hu,721,Spain,Female,36,6,0.0,2,1,1,3448.67,0,0,4,SILVER,592.1044827451212
165,15658929,Taverner,683,Spain,Male,29,6,133702.89,1,1,0,4010.38,1,0,1,PLATINUM,253.44837374799448
166,15585388,Sherman,660,Germany,Male,31,1,125189.75,2,1,1,994.04,0,1,4,GOLD,431.2018150958314
167,15724623,Taubman,704,Germany,Female,24,6,113034.22,1,1,1,1431.29,1,1,3,PLATINUM,802.6127143014749
168,15588537,Robinson,615,Spain,Female,41,10,109013.23,1,1,0,892.03,0,0,4,PLATINUM,476.44655745766806
169,15574692,Pinto,667,Spain,Female,39,6,0.0,2,1,1,573.61,1,0,1,PLATINUM,824.4737238817587
170,15611325,Wood,682,Germany,Male,24,6,57929.81,2,0,0,362.05,0,0,3,SILVER,816.8482913009714
171,15587562,Hawkins,484,France,Female,29,4,130114.39,1,1,0,934.05,0,0,4,GOLD,133.71874348276634
172,15613172,Sun,628,Germany,Male,27,3,95826.49,2,1,1,1149.39,0,0,4,SILVER,567.9952327954278
173,15651022,Yost,480,Germany,Male,44,2,129608.57,1,1,0,778.46,1,1,1,GOLD,577.3507912711206
174,15586310,Ting,578,France,Male,30,9,169462.09,1,1,0,3219.09,0,0,3,DIAMOND,215.00671918208383
175,15625524,Rowe,512,France,Male,40,0,0.0,2,1,0,1694.32,0,0,4,DIAMOND,555.6647450389554
176,15755209,Fu,484,Spain,Female,35,0,133868.21,1,1,1,1270.87,0,0,3,SILVER,475.8135755866755
177,15645248,Ho,510,France,Female,30,4,0.0,2,1,1,1952.54,0,0,5,DIAMOND,70.6719597713643
178,15790355,Okechukwu,606,Germany,Male,36,9,190479.48,2,0,0,3441.76,0,0,5,PLATINUM,1052.640025911975
179,15762615,Campbell,597,Spain,Female,40,7,101993.12,1,0,1,1904.45,0,0,5,SILVER,791.3783245319764
180,15625426,Ashbolt,754,Germany,Female,55,8,0.0,1,1,1,2484.6,0,0,1,GOLD,430.2981588243241
181,15716334,Rozier,850,Spain,Female,45,5,122311.21,1,1,1,1811.96,0,0,5,GOLD,289.1176089892876
182,15789669,Hsia,510,France,Male,65,10,0.0,2,1,1,298.6,0,0,5,SILVER,231.0681694438125
183,15621075,Ogbonnaya,778,Germany,Female,45,3,162150.42,2,1,1,3577.02,0,0,5,DIAMOND,204.9111090859596
184,15810845,T'ang,636,France,Male,42,4,0.0,2,1,1,2203.21,0,0,3,PLATINUM,133.61032011836426
185,15719377,Cocci,804,France,Female,50,9,0.0,1,1,0,2592.47,0,0,3,GOLD,637.1108191227231
186,15654506,Chang,514,France,Male,32,8,0.0,2,1,0,1967.46,0,0,4,PLATINUM,664.4542801366206
187,15771977,T'ao,730,France,Female,39,10,99010.67,1,1,0,1777.26,0,1,3,GOLD,515.036972764726
188,15708710,Ford,525,Spain,Female,37,6,0.0,1,0,1,1657.89,0,0,4,SILVER,820.697016755948
189,15726676,Marshall,616,Spain,Male,30,8,0.0,2,0,1,4018.01,0,0,5,PLATINUM,776.2416963878536
190,15587421,Tsai,687,Germany,Female,34,8,111388.18,2,1,0,2803.39,0,0,3,GOLD,581.5483056536008
191,15726931,Onwumelu,715,France,Female,41,4,56214.85,2,0,0,1300.76,1,0,1,GOLD,818.9991640936703
192,15771086,Graham,512,France,Female,36,6,84327.77,2,1,1,1707.71,0,0,5,PLATINUM,398.8470929005341
193,15756850,Golovanov,479,France,Male,40,4,0.0,2,0,0,2717.67,0,0,5,SILVER,1149.6970994851013
194,15702741,Potts,601,France,Male,32,7,93012.89,1,1,0,2354.2,0,0,3,GOLD,403.086509114166
195,15679200,Crawford,580,Spain,Male,29,3,61710.44,2,1,1,1415.95,0,0,3,DIAMOND,326.66746774498176
196,15594815,Aleshire,807,France,Male,35,3,174790.15,1,1,1,937.43,0,0,3,SILVER,651.0779927547042
197,15635905,Moran,616,Spain,Female,32,6,0.0,2,1,0,2227.24,0,0,4,GOLD,358.9284140342577
198,15777892,Samsonova,721,Germany,Male,37,8,107720.64,1,1,1,1839.77,0,0,5,PLATINUM,607.4708592241785
199,15656176,Jenkins,501,France,Male,57,6,0.0,2,1,1,2920.34,0,0,4,PLATINUM,832.063549972004
200,15811127,Volkov,521,France,Male,35,9,96423.84,1,1,0,1384.95,0,0,4,PLATINUM,848.9177120424453
201,15604482,Chiemezie,850,Spain,Male,30,4,141040.01,1,1,1,572.28,0,0,4,DIAMOND,901.0025755156884
202,15622911,Jude,759,France,Male,42,3,105420.18,1,0,0,908.79,0,0,3,GOLD,510.1913644454705
203,15600974,He,516,Spain,Male,50,8,0.0,1,0,1,590.03,0,0,2,GOLD,684.0725395742
204,15727868,Onuora,711,France,Female,38,4,0.0,2,1,0,1797.7,1,0,1,DIAMOND,399.9761338835869
205,15627801,Ginikanwa,512,Spain,Male,33,4,176666.62,1,1,0,1318.26,0,0,3,PLATINUM,657.4668810124965
206,15773039,Ku,550,France,Male,37,7,0.0,1,1,1,2344.32,0,0,4,GOLD,543.7572420384517
207,15755262,McDonald,608,Spain,Female,41,9,0.0,1,0,0,963.93,0,0,1,PLATINUM,740.921955577707
208,15679531,Collins,618,France,Male,34,5,134954.53,1,1,1,705.83,0,0,4,SILVER,436.0747776106064
209,15684181,Hackett,643,France,Male,45,6,0.0,1,1,0,1494.84,0,0,3,GOLD,508.9475318570349
210,15612087,Dike,671,France,Male,45,1,106376.85,1,0,0,2222.3,0,0,3,DIAMOND,701.7011102870164
211,15752047,Trevisano,689,Germany,Male,33,5,161814.64,2,1,1,1316.73,0,0,4,PLATINUM,618.6916558926157
212,15624592,Tan,603,France,Male,31,5,0.0,2,1,1,1604.63,0,0,3,GOLD,912.7659302451872
213,15573152,Glassman,620,France,Female,41,9,0.0,2,0,1,2069.16,0,0,5,DIAMOND,761.6773318013351
214,15594917,Miller,676,France,Female,34,5,63095.01,1,1,0,1805.83,0,0,4,SILVER,588.8224691081471
215,15785542,Kornilova,572,Germany,Male,26,8,118287.01,2,0,1,1731.82,0,0,5,DIAMOND,786.5303660270936
216,15723488,Watson,668,Germany,Male,47,4,106854.21,1,0,0,1778.15,0,1,3,GOLD,300.65956029611334
217,15680920,Marchesi,695,France,Male,46,2,49512.55,1,1,1,2276.88,0,0,5,DIAMOND,553.8436004795414
218,15786308,Millar,730,Spain,Female,33,9,0.0,2,0,0,1387.83,0,1,4,SILVER,218.1081868035949
219,15659366,Shih,807,France,Male,43,9,105799.32,2,1,0,1461.75,0,0,3,DIAMOND,647.3106723681996
220,15774854,Fuller,592,France,Male,54,4,0.0,1,1,1,81.07,1,1,3,PLATINUM,737.8137087367805
221,15725311,Hay,726,France,Female,31,4,114722.05,2,1,1,1607.18,0,0,4,SILVER,647.0274124840815
222,15787155,Yang,514,Spain,Male,30,5,0.0,1,0,1,1414.71,0,0,4,DIAMOND,963.513623494028
223,15727829,McIntyre,567,France,Male,42,2,0.0,2,1,0,1484.64,0,0,3,SILVER,861.6126569529883
224,15733247,Stevenson,850,France,Male,33,3,0.0,1,1,1,3279.73,1,0,1,SILVER,608.2770474530707
225,15568748,Poole,671,Germany,Male,45,10,99564.22,1,1,1,3093.04,0,1,3,PLATINUM,744.8430616566988
226,15699029,Bagley,670,France,Male,37,0,170557.91,2,1,1,2863.11,0,0,4,GOLD,632.1172046502195
227,15774393,Ch'ien,694,France,Female,30,10,0.0,2,1,0,1543.66,0,0,3,DIAMOND,601.915041417567
228,15676895,Cattaneo,547,Germany,Female,39,7,74596.15,3,1,0,2221.78,0,0,1,SILVER,853.0927416440741
229,15637753,O'Sullivan,751,Germany,Male,50,8,96888.39,1,1,0,248.9,0,1,2,DIAMOND,680.5486450470446
230,15605461,Lucas,594,Germany,Female,29,9,130830.22,1,1,0,3087.56,0,0,3,GOLD,602.2215927290935
231,15808473,Ringrose,673,France,Male,72,5,0.0,2,0,0,1025.13,0,0,4,SILVER,1166.405151550332
232,15627000,Freeman,610,France,Male,40,9,0.0,2,1,0,2726.4,0,0,3,GOLD,733.5554411508218
233,15787174,Sergeyev,512,France,Female,37,7,0.0,2,0,1,1388.53,0,0,5,PLATINUM,440.2649143186317
234,15723886,Fiore,767,Germany,Male,20,6,119714.25,2,0,1,2193.83,0,0,4,DIAMOND,688.3558291590691
235,15704769,Smith,585,France,Female,67,5,113978.97,2,0,1,1749.46,0,0,4,SILVER,579.8167766875749
